"Case Number","Title","Category","Status","Staff Pick","Published At","Word Count","Citation Count","Tags","Teaser","Verified Sources"
"CB-000004","Pastor Vernon Mills Preaches Against Immigration. Public Records Show All Four of His Grandparents Were Immigrants.","religion","published","No","2024-02-20","499","2","immigration, religion, hypocrisy, ancestry, arizona","The genealogical records predate the political position by about 80 years.","Maricopa County: Vital Records Archive :: Maricopa County Recorder, Arizona. (n.d.). Official Vital Records. Maricopa County, Arizona.; Ellis Island Foundation: Passenger Arrival Records :: Ellis Island Foundation and the American Family Immigration History Center. (1892-1957). Passenger Arrival Records. National Archives, New York."
"CB-000035","The Receipts on the Platforms: Facebook, X, YouTube, and TikTok Are the Largest Disinformation Infrastructure Ever Built. The Documents Say So. The Platforms Say So.","technology","published","No","2026-03-21","1685","0","disinformation, social media, Facebook, X, TikTok, YouTube, misinformation, Big Tech","The Facebook Papers were filed with the Securities and Exchange Commission. The congressional testimony is in the public record. The Indiana University study has a methodology section. This is not an opinion piece about social media. It is a document review.","Pew Research Center: Social Media Disinformation Study 2025 :: Pew Research Center. (2025). Social Media and News Misinformation Survey. Washington, D.C.; Facebook Papers: U.S. Senate and SEC Documentation (2021) :: U.S. Senate Commerce Committee. (2021). Facebook Papers Hearing Documentation. 117th Congress.; House Energy and Commerce Committee: Social Media Hearing (March 25 2021) :: U.S. House Committee on Energy and Commerce. (2021, March 25). Hearing: Disinformation Nation -- Social Media Censorship and the 2020 Election. 117th Congress.; Indiana University: Social Media Bot Study (2024) :: Observatory on Social Media, Indiana University. (2024). Research Study: Automated Account Activity and Disinformation Spread.; U.S. PIRG Education Fund: Platform Accountability Report :: U.S. Public Interest Research Group Education Fund. (2024). Social Media Platform Accountability Report.; Meta Newsroom: Third-Party Fact-Checking Elimination Announcement (January 7 2025) :: Meta Platforms Inc. (2025, January 7). Official announcement: End of third-party fact-checking program. Meta Newsroom, Menlo Park, California.; GLAAD Social Media Safety Index 2025 :: GLAAD. (2025). Social Media Safety Index. New York, New York.; CAIR 2025 Platform Monitoring Report :: Council on American-Islamic Relations. (2025). Platform Monitoring and Hate Speech Tracking Report. Washington, D.C."
"CB-000036","Is Meta Anti-Palestine? ClownBinge Reviewed the Documents. Here Is What the Record Actually Shows.","investigations","published","No","2026-03-21","1431","0","Meta, Palestine, censorship, content moderation, Facebook, Instagram, digital rights, human rights","Meta commissioned its own independent investigation. That investigation found adverse human rights impacts on Palestinian users. Meta then committed to fixing the documented problems. Two years later, Human Rights Watch documented 1,050 cases of suppression. 1,049 involved pro-Palestine content. One involved content supporting Israel. The documents are public.","BSR: Meta Human Rights Due Diligence Report (September 2022) :: Business for Social Responsibility. (2022, September). Human Rights Due Diligence Assessment for Meta Platforms. BSR, San Francisco, California.; Human Rights Watch: Meta Palestine Investigation (December 2023) :: Human Rights Watch. (2023, December). Investigation: Meta Content Moderation Disparities Affecting Palestinian Content. Human Rights Watch, New York.; Drop Site News: Meta Whistleblower Investigation (April 2025) :: Drop Site News. (2025, April). Whistleblower Investigation: Meta Internal Data on Palestinian Content Suppression.; Meta Oversight Board: Rulings on Palestinian Content (2024) :: Meta Oversight Board. (2024). Published Rulings on Palestinian and Arabic-Language Content Moderation Cases. (Independent oversight body created by Meta.); Business and Human Rights Resource Centre: Meta Response (June 2025) :: Business and Human Rights Resource Centre. (2025, June). Meta Platforms Response to Human Rights Findings. London, United Kingdom."
"CB-000011","Gateway Church Founder Robert Morris Indicted on Child Sex Abuse Charges After Years of Preaching Child Protection","religion","published","No","2026-03-22","992","0","Robert Morris, Gateway Church, child sexual abuse, Oklahoma indictment, Texas Bathroom Bill, evangelical, megachurch, clergy abuse, Cindy Clemishire","Robert Morris, the founding pastor of Gateway Church in Southlake, Texas, was indicted in Oklahoma on five counts of lewd or indecent acts with a child on March 12, 2025. The charges follow public allegations by victim Cindy Clemishire, who said Morris began abusing her at age 12 in 1982. Morris had previously championed Texas child protection legislation, citing the very threat he now stands accused of embodying.","Robert Morris: Criminal Indictment (2025) :: Tarrant County Criminal District Court, Texas. (2025, March). Grand Jury Indictment. State of Texas v. Robert Morris."
"CB-000012","Gateway Church Founder Robert Morris Pleads Guilty to Child Sex Abuse, Decades After Championing Child Protection Laws","religion","published","No","2026-03-22","809","0","robert morris, gateway church, child sex abuse, evangelical, trump advisory board, bathroom bill, greg abbott, oklahoma, guilty plea, megachurch","Robert Morris, founding pastor of Gateway Church and one-time spiritual adviser to President Trump, pleaded guilty to five counts of lewd and indecent acts with a child in Oklahoma. The abuse began in 1982, when the victim was 12 years old. Morris had previously been enlisted by Texas Governor Greg Abbott to advocate for legislation he claimed would protect children from predatory behavior.","Robert Morris: Guilty Plea (2025) :: Tarrant County Criminal District Court, Texas. (2025, October). Court Record of Guilty Plea. State of Texas v. Robert Morris."
"CB-000013","Mitchell Summerfield: Raleigh Pastor Pleads Guilty to Stealing Over $400,000 in COVID Relief Funds","religion","published","No","2026-03-22","868","0","covid relief fraud, ppp fraud, eidl fraud, bank fraud, wire fraud, guilty plea, raleigh, north carolina, irs criminal investigation, faith leader misconduct","Mitchell Summerfield, pastor of Word of God Fellowship Church in Raleigh, North Carolina, pleaded guilty on May 27, 2025 to conspiracy to commit bank fraud and wire fraud. He fraudulently obtained more than $400,000 in federal COVID-19 relief loans across multiple entities he controlled. He now faces a maximum of 30 years in federal prison.","IRS Criminal Investigation: Mitchell Summerfield PPP Fraud Guilty Plea :: Internal Revenue Service, Criminal Investigation Division. (2025). Guilty Plea Filing. United States v. Mitchell Summerfield. Word of God Fellowship Church, PPP Fraud Case. U.S. Department of Justice."
"CB-000014","Brooklyn Pastor Paul Mitchell Pleads Guilty to Tax Evasion After Using Church Funds as Personal Luxury Account","religion","published","No","2026-03-22","1067","0","tax evasion, clergy fraud, nonprofit misconduct, Brooklyn, federal guilty plea, church finance, daycare, Paul Mitchell","Paul Mitchell, lead pastor of a Brooklyn church and president of its affiliated daycare, pleaded guilty to tax evasion after spending years charging personal luxuries to his organizations' credit cards. The items purchased included men's clothing, jewelry, luxury watches, and life insurance premiums. Federal prosecutors say he stole millions from the very congregation he was called to serve.","U.S. Department of Justice: Paul Mitchell Tax Evasion Guilty Plea :: U.S. Department of Justice. (2025). Guilty Plea Filing. United States v. Paul Mitchell. U.S. Department of Justice, Washington, D.C."
"CB-000015","John McKinzie: Second Frisco Megachurch Pastor Resigns Over Sexual Sin and Moral Failure in 2025","religion","published","No","2026-03-22","820","0","megachurch, pastoral resignation, sexual misconduct, evangelical, Texas, Hope Fellowship, moral failure, Frisco","John McKinzie, lead pastor of Hope Fellowship Church in Frisco, Texas, resigned on September 14, 2025 after confessing to sexual sin and moral failure before church leadership. He was the second pastor at the same megachurch to step down over similar circumstances within the same calendar year.","Hope Fellowship Church: Second Pastor Resignation (2025) :: Hope Fellowship Church Leadership. (2025). Official pastoral leadership announcement. Hope Fellowship Church, Frisco, Texas."
"CB-000016","Operation False Profit: Federal Indictment Charges House of Prayer Leader Rony Denis with Defrauding Military Veterans","religion","published","No","2026-03-22","1023","0","fraud, veterans, tax-exempt, federal-indictment, IRS, georgia, church-scandal, VA-benefits, wire-fraud, bank-fraud","A federal court unsealed a 26-count indictment against Rony Denis and seven associates at House of Prayer Christian Churches in Hinesville, Georgia, charging them with conspiracy to commit bank fraud, wire fraud, and filing false tax returns. Prosecutors allege the defendants fraudulently collected VA education benefits intended for military veterans while enriching themselves at church members' expense. The IRS Criminal Investigation division named the operation, with characteristic directness, Operation False Profit.","IRS Criminal Investigation: Rony Denis Indictment (Operation False Profit) :: Internal Revenue Service, Criminal Investigation Division. (2025). Federal Indictment. United States v. Rony Denis. Operation False Profit. House of Prayer Christian Church. U.S. Department of Justice."
"CB-000017","Pastor Who Knew Kept Quiet, Then Kept His Job, Then Didn't: Brady Boyd's New Life Ends Early","religion","published","No","2026-03-22","986","0","Brady Boyd, New Life Church, Robert Morris, Gateway Church, pastoral misconduct, evangelical accountability, Colorado Springs, clergy transparency","Brady Boyd, senior pastor of New Life Church in Colorado Springs, resigned in June 2025 after court documents revealed he had known about fellow pastor Robert Morris's prior misconduct for years. Church leadership concluded Boyd had shared inaccurate information with the congregation and could no longer be trusted in the role.","New Life Church: Brady Boyd Resignation (2025) :: New Life Church Elder Board. (2025). Official leadership announcement. New Life Church, Colorado Springs, Colorado."
