"Case Number","Title","Category","Status","Staff Pick","Published At","Word Count","Citation Count","Tags","Teaser"
"CB-000004","Pastor Vernon Mills Preaches Against Immigration. Public Records Show All Four of His Grandparents Were Immigrants.","religion","published","No","2024-02-20","499","2","immigration, religion, hypocrisy, ancestry, arizona","The genealogical records predate the political position by about 80 years."
"CB-000035","The Receipts on the Platforms: Facebook, X, YouTube, and TikTok Are the Largest Disinformation Infrastructure Ever Built. The Documents Say So. The Platforms Say So.","technology","published","No","2026-03-21","1685","0","disinformation, social media, Facebook, X, TikTok, YouTube, misinformation, Big Tech","The Facebook Papers were filed with the Securities and Exchange Commission. The congressional testimony is in the public record. The Indiana University study has a methodology section. This is not an opinion piece about social media. It is a document review."
"CB-000036","Is Meta Anti-Palestine? ClownBinge Reviewed the Documents. Here Is What the Record Actually Shows.","investigations","published","No","2026-03-21","1431","0","Meta, Palestine, censorship, content moderation, Facebook, Instagram, digital rights, human rights","Meta commissioned its own independent investigation. That investigation found adverse human rights impacts on Palestinian users. Meta then committed to fixing the documented problems. Two years later, Human Rights Watch documented 1,050 cases of suppression. 1,049 involved pro-Palestine content. One involved content supporting Israel. The documents are public."
"CB-000011","Gateway Church Founder Robert Morris Indicted on Child Sex Abuse Charges After Years of Preaching Child Protection","religion","published","No","2026-03-22","992","0","Robert Morris, Gateway Church, child sexual abuse, Oklahoma indictment, Texas Bathroom Bill, evangelical, megachurch, clergy abuse, Cindy Clemishire","Robert Morris, the founding pastor of Gateway Church in Southlake, Texas, was indicted in Oklahoma on five counts of lewd or indecent acts with a child on March 12, 2025. The charges follow public allegations by victim Cindy Clemishire, who said Morris began abusing her at age 12 in 1982. Morris had previously championed Texas child protection legislation, citing the very threat he now stands accused of embodying."
"CB-000012","Gateway Church Founder Robert Morris Pleads Guilty to Child Sex Abuse, Decades After Championing Child Protection Laws","religion","published","No","2026-03-22","809","0","robert morris, gateway church, child sex abuse, evangelical, trump advisory board, bathroom bill, greg abbott, oklahoma, guilty plea, megachurch","Robert Morris, founding pastor of Gateway Church and one-time spiritual adviser to President Trump, pleaded guilty to five counts of lewd and indecent acts with a child in Oklahoma. The abuse began in 1982, when the victim was 12 years old. Morris had previously been enlisted by Texas Governor Greg Abbott to advocate for legislation he claimed would protect children from predatory behavior."
"CB-000013","Mitchell Summerfield: Raleigh Pastor Pleads Guilty to Stealing Over $400,000 in COVID Relief Funds","religion","published","No","2026-03-22","868","0","covid relief fraud, ppp fraud, eidl fraud, bank fraud, wire fraud, guilty plea, raleigh, north carolina, irs criminal investigation, faith leader misconduct","Mitchell Summerfield, pastor of Word of God Fellowship Church in Raleigh, North Carolina, pleaded guilty on May 27, 2025 to conspiracy to commit bank fraud and wire fraud. He fraudulently obtained more than $400,000 in federal COVID-19 relief loans across multiple entities he controlled. He now faces a maximum of 30 years in federal prison."
"CB-000014","Brooklyn Pastor Paul Mitchell Pleads Guilty to Tax Evasion After Using Church Funds as Personal Luxury Account","religion","published","No","2026-03-22","1067","0","tax evasion, clergy fraud, nonprofit misconduct, Brooklyn, federal guilty plea, church finance, daycare, Paul Mitchell","Paul Mitchell, lead pastor of a Brooklyn church and president of its affiliated daycare, pleaded guilty to tax evasion after spending years charging personal luxuries to his organizations' credit cards. The items purchased included men's clothing, jewelry, luxury watches, and life insurance premiums. Federal prosecutors say he stole millions from the very congregation he was called to serve."
"CB-000015","John McKinzie: Second Frisco Megachurch Pastor Resigns Over Sexual Sin and Moral Failure in 2025","religion","published","No","2026-03-22","820","0","megachurch, pastoral resignation, sexual misconduct, evangelical, Texas, Hope Fellowship, moral failure, Frisco","John McKinzie, lead pastor of Hope Fellowship Church in Frisco, Texas, resigned on September 14, 2025 after confessing to sexual sin and moral failure before church leadership. He was the second pastor at the same megachurch to step down over similar circumstances within the same calendar year."
"CB-000016","Operation False Profit: Federal Indictment Charges House of Prayer Leader Rony Denis with Defrauding Military Veterans","religion","published","No","2026-03-22","1023","0","fraud, veterans, tax-exempt, federal-indictment, IRS, georgia, church-scandal, VA-benefits, wire-fraud, bank-fraud","A federal court unsealed a 26-count indictment against Rony Denis and seven associates at House of Prayer Christian Churches in Hinesville, Georgia, charging them with conspiracy to commit bank fraud, wire fraud, and filing false tax returns. Prosecutors allege the defendants fraudulently collected VA education benefits intended for military veterans while enriching themselves at church members' expense. The IRS Criminal Investigation division named the operation, with characteristic directness, Operation False Profit."
"CB-000017","Pastor Who Knew Kept Quiet, Then Kept His Job, Then Didn't: Brady Boyd's New Life Ends Early","religion","published","No","2026-03-22","986","0","Brady Boyd, New Life Church, Robert Morris, Gateway Church, pastoral misconduct, evangelical accountability, Colorado Springs, clergy transparency","Brady Boyd, senior pastor of New Life Church in Colorado Springs, resigned in June 2025 after court documents revealed he had known about fellow pastor Robert Morris's prior misconduct for years. Church leadership concluded Boyd had shared inaccurate information with the congregation and could no longer be trusted in the role."
"CB-000018","Dillon Awes: Texas Pastor Calls for Execution of Gay People, Then His Own Church Implodes","religion","published","No","2026-03-22","845","0","Stedfast Baptist Church, anti-LGBT hate group, execution sermon, church split, Southern Poverty Law Center, Independent Fundamental Baptist, Texas","Pastor Dillon Awes of Stedfast Baptist Church delivered a sermon calling for gay people to be shot in the back of the head. Shortly after, his church's lead pastor was exposed for soliciting prostitutes and gambling, forcing the congregation to fracture."
"CB-000019","Jonathan Shelley: Texas Pastor Demanded Death for Gay People, Then Got Caught Soliciting Prostitutes","religion","published","No","2026-03-22","898","0","Jonathan Shelley, Stedfast Baptist Church, capital punishment, homosexuality, prostitution, church split, Texas, Arlington City Council, Independent Fundamental Baptist, religious hypocrisy","Jonathan Shelley, lead pastor of Stedfast Baptist Church in Watauga, Texas, told an Arlington City Council meeting that God requires the government to execute gay people. His personal conduct, which included soliciting prostitutes and gambling, later forced the very congregation he led to split."
"CB-000020","Kenneth Copeland Blows COVID Away on Live TV, Asks Fans to Pay for the Jet He Used to Avoid Them","religion","published","No","2026-03-22","922","0","kenneth copeland, covid-19, televangelism, prosperity gospel, private jets, faith healing, word of faith, pandemic misinformation","Televangelist Kenneth Copeland, whose ministry funds support a reported three private jets, conducted a live televised ritual in April 2020 claiming to destroy COVID-19 by blowing through a camera. The same man who called commercial air travel a tube full of demons has spent years asking followers to finance his ability to avoid them."
"CB-000021","Televangelist Jesse Duplantis Asks Followers to Buy Him a Fourth Private Jet Because Jesus Wouldn't Ride a Donkey","religion","published","No","2026-03-22","911","0","Jesse Duplantis, prosperity gospel, private jet, televangelism, fundraising, religious accountability, Louisiana","Louisiana televangelist Jesse Duplantis, already the owner of three private jets, broadcast a fundraising appeal in May 2018 asking his followers to collectively purchase him a $54 million Dassault Falcon 7X. His theological justification: Jesus, were He alive today, would not be caught dead on a donkey."
"CB-000022","Paula White Calls on Angels From Two Continents to Overturn an Election She Did Not Win","religion","published","No","2026-03-22","856","0","paula white, 2020 election, prayer, angels, white house faith initiative, trump, prosperity gospel, evangelical hypocrisy","Trump's personal pastor and White House faith adviser delivered a prayer on November 5, 2020 invoking angels from Africa and South America to intervene in U.S. election results. The spectacle raised pointed questions about the relationship between prophetic urgency and democratic theology."
"CB-000023","Greg Locke Divorced His Wife of 21 Years and Married His Secretary, Having Previously Condemned Pastors Who Do Exactly That","religion","published","No","2026-03-22","876","0","greg-locke, divorce, remarriage, evangelical, global-vision-bible-church, pastoral-hypocrisy, tennessee","Greg Locke spent years publicly shaming other pastors for moral failures involving divorce and remarriage. Then he divorced his wife of 21 years and married his church secretary within the same calendar year."
